model,model_id,ablation,condition,clean_label,attacked_label,count,row_denominator,row_rate,direction
gemini_2_5_flash,gemini-2.5-flash,text,direct_label,little_or_no_damage,little_or_no_damage,22,22,1.0,unchanged
gemini_2_5_flash,gemini-2.5-flash,text,direct_label,little_or_no_damage,mild_damage,0,22,0.0,upward
gemini_2_5_flash,gemini-2.5-flash,text,direct_label,little_or_no_damage,severe_damage,0,22,0.0,upward
gemini_2_5_flash,gemini-2.5-flash,text,direct_label,mild_damage,little_or_no_damage,1,11,0.09090909090909091,downward
gemini_2_5_flash,gemini-2.5-flash,text,direct_label,mild_damage,mild_damage,8,11,0.7272727272727273,unchanged
gemini_2_5_flash,gemini-2.5-flash,text,direct_label,mild_damage,severe_damage,2,11,0.18181818181818182,upward
gemini_2_5_flash,gemini-2.5-flash,text,direct_label,severe_damage,little_or_no_damage,1,22,0.045454545454545456,downward
gemini_2_5_flash,gemini-2.5-flash,text,direct_label,severe_damage,mild_damage,0,22,0.0,downward
gemini_2_5_flash,gemini-2.5-flash,text,direct_label,severe_damage,severe_damage,21,22,0.9545454545454546,unchanged
gemini_2_5_flash,gemini-2.5-flash,text,direct_natural,little_or_no_damage,little_or_no_damage,22,22,1.0,unchanged
gemini_2_5_flash,gemini-2.5-flash,text,direct_natural,little_or_no_damage,mild_damage,0,22,0.0,upward
gemini_2_5_flash,gemini-2.5-flash,text,direct_natural,little_or_no_damage,severe_damage,0,22,0.0,upward
gemini_2_5_flash,gemini-2.5-flash,text,direct_natural,mild_damage,little_or_no_damage,2,11,0.18181818181818182,downward
gemini_2_5_flash,gemini-2.5-flash,text,direct_natural,mild_damage,mild_damage,9,11,0.8181818181818182,unchanged
gemini_2_5_flash,gemini-2.5-flash,text,direct_natural,mild_damage,severe_damage,0,11,0.0,upward
gemini_2_5_flash,gemini-2.5-flash,text,direct_natural,severe_damage,little_or_no_damage,1,22,0.045454545454545456,downward
gemini_2_5_flash,gemini-2.5-flash,text,direct_natural,severe_damage,mild_damage,1,22,0.045454545454545456,downward
gemini_2_5_flash,gemini-2.5-flash,text,direct_natural,severe_damage,severe_damage,20,22,0.9090909090909091,unchanged
gemini_2_5_flash,gemini-2.5-flash,text,misleading_plain,little_or_no_damage,little_or_no_damage,22,22,1.0,unchanged
gemini_2_5_flash,gemini-2.5-flash,text,misleading_plain,little_or_no_damage,mild_damage,0,22,0.0,upward
gemini_2_5_flash,gemini-2.5-flash,text,misleading_plain,little_or_no_damage,severe_damage,0,22,0.0,upward
gemini_2_5_flash,gemini-2.5-flash,text,misleading_plain,mild_damage,little_or_no_damage,2,11,0.18181818181818182,downward
gemini_2_5_flash,gemini-2.5-flash,text,misleading_plain,mild_damage,mild_damage,9,11,0.8181818181818182,unchanged
gemini_2_5_flash,gemini-2.5-flash,text,misleading_plain,mild_damage,severe_damage,0,11,0.0,upward
gemini_2_5_flash,gemini-2.5-flash,text,misleading_plain,severe_damage,little_or_no_damage,1,22,0.045454545454545456,downward
gemini_2_5_flash,gemini-2.5-flash,text,misleading_plain,severe_damage,mild_damage,1,22,0.045454545454545456,downward
gemini_2_5_flash,gemini-2.5-flash,text,misleading_plain,severe_damage,severe_damage,20,22,0.9090909090909091,unchanged
gemini_2_5_flash,gemini-2.5-flash,text,misleading_authority,little_or_no_damage,little_or_no_damage,22,22,1.0,unchanged
gemini_2_5_flash,gemini-2.5-flash,text,misleading_authority,little_or_no_damage,mild_damage,0,22,0.0,upward
gemini_2_5_flash,gemini-2.5-flash,text,misleading_authority,little_or_no_damage,severe_damage,0,22,0.0,upward
gemini_2_5_flash,gemini-2.5-flash,text,misleading_authority,mild_damage,little_or_no_damage,1,11,0.09090909090909091,downward
gemini_2_5_flash,gemini-2.5-flash,text,misleading_authority,mild_damage,mild_damage,10,11,0.9090909090909091,unchanged
gemini_2_5_flash,gemini-2.5-flash,text,misleading_authority,mild_damage,severe_damage,0,11,0.0,upward
gemini_2_5_flash,gemini-2.5-flash,text,misleading_authority,severe_damage,little_or_no_damage,1,22,0.045454545454545456,downward
gemini_2_5_flash,gemini-2.5-flash,text,misleading_authority,severe_damage,mild_damage,3,22,0.13636363636363635,downward
gemini_2_5_flash,gemini-2.5-flash,text,misleading_authority,severe_damage,severe_damage,18,22,0.8181818181818182,unchanged
