model,model_id,ablation,condition,clean_label,attacked_label,count,row_denominator,row_rate,direction
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,text,direct_label,little_or_no_damage,little_or_no_damage,24,24,1.0,unchanged
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,text,direct_label,little_or_no_damage,mild_damage,0,24,0.0,upward
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,text,direct_label,little_or_no_damage,severe_damage,0,24,0.0,upward
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,text,direct_label,mild_damage,little_or_no_damage,6,21,0.2857142857142857,downward
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,text,direct_label,mild_damage,mild_damage,15,21,0.7142857142857143,unchanged
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,text,direct_label,mild_damage,severe_damage,0,21,0.0,upward
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,text,direct_label,severe_damage,little_or_no_damage,1,7,0.14285714285714285,downward
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,text,direct_label,severe_damage,mild_damage,2,7,0.2857142857142857,downward
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,text,direct_label,severe_damage,severe_damage,4,7,0.5714285714285714,unchanged
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,text,direct_natural,little_or_no_damage,little_or_no_damage,23,24,0.9583333333333334,unchanged
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,text,direct_natural,little_or_no_damage,mild_damage,1,24,0.041666666666666664,upward
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,text,direct_natural,little_or_no_damage,severe_damage,0,24,0.0,upward
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,text,direct_natural,mild_damage,little_or_no_damage,5,21,0.23809523809523808,downward
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,text,direct_natural,mild_damage,mild_damage,16,21,0.7619047619047619,unchanged
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,text,direct_natural,mild_damage,severe_damage,0,21,0.0,upward
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,text,direct_natural,severe_damage,little_or_no_damage,1,7,0.14285714285714285,downward
