model,model_id,ablation,condition,clean_label,attacked_label,count,row_denominator,row_rate,direction
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_label,little_or_no_damage,little_or_no_damage,17,17,1.0,unchanged
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_label,little_or_no_damage,mild_damage,0,17,0.0,upward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_label,little_or_no_damage,severe_damage,0,17,0.0,upward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_label,mild_damage,little_or_no_damage,5,16,0.3125,downward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_label,mild_damage,mild_damage,11,16,0.6875,unchanged
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_label,mild_damage,severe_damage,0,16,0.0,upward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_label,severe_damage,little_or_no_damage,0,21,0.0,downward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_label,severe_damage,mild_damage,0,21,0.0,downward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_label,severe_damage,severe_damage,21,21,1.0,unchanged
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_natural,little_or_no_damage,little_or_no_damage,17,17,1.0,unchanged
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_natural,little_or_no_damage,mild_damage,0,17,0.0,upward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_natural,little_or_no_damage,severe_damage,0,17,0.0,upward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_natural,mild_damage,little_or_no_damage,5,16,0.3125,downward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_natural,mild_damage,mild_damage,11,16,0.6875,unchanged
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_natural,mild_damage,severe_damage,0,16,0.0,upward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_natural,severe_damage,little_or_no_damage,0,21,0.0,downward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_natural,severe_damage,mild_damage,0,21,0.0,downward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,direct_natural,severe_damage,severe_damage,21,21,1.0,unchanged
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_plain,little_or_no_damage,little_or_no_damage,17,17,1.0,unchanged
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_plain,little_or_no_damage,mild_damage,0,17,0.0,upward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_plain,little_or_no_damage,severe_damage,0,17,0.0,upward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_plain,mild_damage,little_or_no_damage,4,16,0.25,downward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_plain,mild_damage,mild_damage,12,16,0.75,unchanged
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_plain,mild_damage,severe_damage,0,16,0.0,upward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_plain,severe_damage,little_or_no_damage,0,21,0.0,downward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_plain,severe_damage,mild_damage,1,21,0.047619047619047616,downward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_plain,severe_damage,severe_damage,20,21,0.9523809523809523,unchanged
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_authority,little_or_no_damage,little_or_no_damage,17,17,1.0,unchanged
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_authority,little_or_no_damage,mild_damage,0,17,0.0,upward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_authority,little_or_no_damage,severe_damage,0,17,0.0,upward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_authority,mild_damage,little_or_no_damage,4,16,0.25,downward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_authority,mild_damage,mild_damage,12,16,0.75,unchanged
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_authority,mild_damage,severe_damage,0,16,0.0,upward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_authority,severe_damage,little_or_no_damage,0,21,0.0,downward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_authority,severe_damage,mild_damage,1,21,0.047619047619047616,downward
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,text,misleading_authority,severe_damage,severe_damage,20,21,0.9523809523809523,unchanged
