model,model_id,ablation,condition,clean_label,attacked_label,count,row_denominator,row_rate,direction
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_label,little_or_no_damage,little_or_no_damage,24,24,1.0,unchanged
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_label,little_or_no_damage,mild_damage,0,24,0.0,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_label,little_or_no_damage,severe_damage,0,24,0.0,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_label,mild_damage,little_or_no_damage,1,9,0.1111111111111111,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_label,mild_damage,mild_damage,8,9,0.8888888888888888,unchanged
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_label,mild_damage,severe_damage,0,9,0.0,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_label,severe_damage,little_or_no_damage,0,23,0.0,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_label,severe_damage,mild_damage,1,23,0.043478260869565216,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_label,severe_damage,severe_damage,22,23,0.9565217391304348,unchanged
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_natural,little_or_no_damage,little_or_no_damage,23,24,0.9583333333333334,unchanged
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_natural,little_or_no_damage,mild_damage,1,24,0.041666666666666664,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_natural,little_or_no_damage,severe_damage,0,24,0.0,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_natural,mild_damage,little_or_no_damage,2,9,0.2222222222222222,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_natural,mild_damage,mild_damage,7,9,0.7777777777777778,unchanged
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_natural,mild_damage,severe_damage,0,9,0.0,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_natural,severe_damage,little_or_no_damage,0,23,0.0,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_natural,severe_damage,mild_damage,1,23,0.043478260869565216,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,direct_natural,severe_damage,severe_damage,22,23,0.9565217391304348,unchanged
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_plain,little_or_no_damage,little_or_no_damage,24,24,1.0,unchanged
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_plain,little_or_no_damage,mild_damage,0,24,0.0,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_plain,little_or_no_damage,severe_damage,0,24,0.0,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_plain,mild_damage,little_or_no_damage,1,9,0.1111111111111111,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_plain,mild_damage,mild_damage,8,9,0.8888888888888888,unchanged
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_plain,mild_damage,severe_damage,0,9,0.0,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_plain,severe_damage,little_or_no_damage,0,23,0.0,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_plain,severe_damage,mild_damage,1,23,0.043478260869565216,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_plain,severe_damage,severe_damage,22,23,0.9565217391304348,unchanged
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_authority,little_or_no_damage,little_or_no_damage,24,24,1.0,unchanged
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_authority,little_or_no_damage,mild_damage,0,24,0.0,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_authority,little_or_no_damage,severe_damage,0,24,0.0,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_authority,mild_damage,little_or_no_damage,0,9,0.0,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_authority,mild_damage,mild_damage,9,9,1.0,unchanged
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_authority,mild_damage,severe_damage,0,9,0.0,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_authority,severe_damage,little_or_no_damage,0,23,0.0,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_authority,severe_damage,mild_damage,2,23,0.08695652173913043,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,text,misleading_authority,severe_damage,severe_damage,21,23,0.9130434782608695,unchanged
