model,model_id,ablation,condition,clean_label,attacked_label,count,row_denominator,row_rate,direction
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt03,little_or_no_damage,little_or_no_damage,11,11,1.0,unchanged
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt03,little_or_no_damage,mild_damage,0,11,0.0,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt03,little_or_no_damage,severe_damage,0,11,0.0,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt03,mild_damage,little_or_no_damage,1,6,0.16666666666666666,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt03,mild_damage,mild_damage,4,6,0.6666666666666666,unchanged
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt03,mild_damage,severe_damage,1,6,0.16666666666666666,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt03,severe_damage,little_or_no_damage,0,13,0.0,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt03,severe_damage,mild_damage,0,13,0.0,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt03,severe_damage,severe_damage,13,13,1.0,unchanged
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt06,little_or_no_damage,little_or_no_damage,10,11,0.9090909090909091,unchanged
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt06,little_or_no_damage,mild_damage,1,11,0.09090909090909091,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt06,little_or_no_damage,severe_damage,0,11,0.0,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt06,mild_damage,little_or_no_damage,1,6,0.16666666666666666,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt06,mild_damage,mild_damage,3,6,0.5,unchanged
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt06,mild_damage,severe_damage,2,6,0.3333333333333333,upward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt06,severe_damage,little_or_no_damage,0,13,0.0,downward
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,size,direct_pt06,severe_damage,mild_damage,1,13,0.07692307692307693,downward
