model,model_id,condition,ground_truth_class,transition,numerator,denominator,rate,ci_low,ci_high,class_conditional_severity_drop
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,benign_image,mild_damage,mild_to_little_or_no,9,172,0.05232558139534884,0.027769758916001627,0.09644132854412861,0.03488372093023256
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,benign_image,severe_damage,severe_to_mild,9,60,0.15,0.08097440580167739,0.2611458906977855,0.15
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,benign_image,severe_damage,severe_to_little_or_no,0,60,0.0,0.0,0.06017185214208986,0.15
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,benign_image,severe_damage,severe_to_any_lower,9,60,0.15,0.08097440580167739,0.2611458906977855,0.15
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,benign_text,mild_damage,mild_to_little_or_no,4,172,0.023255813953488372,0.00908003526439749,0.058261642290546395,0.011627906976744186
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,benign_text,severe_damage,severe_to_mild,0,60,0.0,0.0,0.06017185214208986,0.0
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,benign_text,severe_damage,severe_to_little_or_no,0,60,0.0,0.0,0.06017185214208986,0.0
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,benign_text,severe_damage,severe_to_any_lower,0,60,0.0,0.0,0.06017185214208986,0.0
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,benign_joint,mild_damage,mild_to_little_or_no,13,172,0.0755813953488372,0.04469943282297831,0.125007182561301,0.05813953488372093
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,benign_joint,severe_damage,severe_to_mild,8,60,0.13333333333333333,0.06914109480586972,0.24165159676499615,0.13333333333333333
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,benign_joint,severe_damage,severe_to_little_or_no,0,60,0.0,0.0,0.06017185214208986,0.13333333333333333
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,benign_joint,severe_damage,severe_to_any_lower,8,60,0.13333333333333333,0.06914109480586972,0.24165159676499615,0.13333333333333333
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_image,mild_damage,mild_to_little_or_no,139,172,0.8081395348837209,0.742819807420266,0.8599959375747094,0.8081395348837209
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_image,severe_damage,severe_to_mild,4,60,0.06666666666666667,0.026228698724506214,0.1592535731319717,1.6
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_image,severe_damage,severe_to_little_or_no,46,60,0.7666666666666667,0.6456372962239805,0.8556043826335717,1.6
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_image,severe_damage,severe_to_any_lower,50,60,0.8333333333333334,0.7196838683638547,0.9068682302080855,1.6
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_text,mild_damage,mild_to_little_or_no,60,172,0.3488372093023256,0.2816182317671836,0.42266083672584753,0.3430232558139535
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_text,severe_damage,severe_to_mild,1,60,0.016666666666666666,0.0029481597947862495,0.08855129727590061,0.05
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_text,severe_damage,severe_to_little_or_no,1,60,0.016666666666666666,0.0029481597947862495,0.08855129727590061,0.05
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_text,severe_damage,severe_to_any_lower,2,60,0.03333333333333333,0.009189319256197877,0.113637742743086,0.05
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_joint,mild_damage,mild_to_little_or_no,133,172,0.7732558139534884,0.7051094711090863,0.8294629819996656,0.7732558139534884
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_joint,severe_damage,severe_to_mild,5,60,0.08333333333333333,0.03612045660173077,0.1806894201833441,1.3833333333333333
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_joint,severe_damage,severe_to_little_or_no,39,60,0.65,0.5236261884175486,0.7583222559398244,1.3833333333333333
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,direct_joint,severe_damage,severe_to_any_lower,44,60,0.7333333333333333,0.6099128690331636,0.8286735999671945,1.3833333333333333
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading_image,mild_damage,mild_to_little_or_no,61,172,0.3546511627906977,0.2870444715568661,0.42860847891720233,0.3488372093023256
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading_image,severe_damage,severe_to_mild,10,60,0.16666666666666666,0.0931317697919145,0.2803161316361453,0.23333333333333334
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading_image,severe_damage,severe_to_little_or_no,2,60,0.03333333333333333,0.009189319256197877,0.113637742743086,0.23333333333333334
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading_image,severe_damage,severe_to_any_lower,12,60,0.2,0.11828505322897494,0.317818058056279,0.23333333333333334
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading_text,mild_damage,mild_to_little_or_no,15,172,0.0872093023255814,0.05356151623246639,0.1388928631138875,0.08139534883720931
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading_text,severe_damage,severe_to_mild,5,60,0.08333333333333333,0.03612045660173077,0.1806894201833441,0.08333333333333333
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading_text,severe_damage,severe_to_little_or_no,0,60,0.0,0.0,0.06017185214208986,0.08333333333333333
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading_text,severe_damage,severe_to_any_lower,5,60,0.08333333333333333,0.03612045660173077,0.1806894201833441,0.08333333333333333
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading_joint,mild_damage,mild_to_little_or_no,68,172,0.3953488372093023,0.3253335536686632,0.469936570672666,0.38953488372093026
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading_joint,severe_damage,severe_to_mild,12,60,0.2,0.11828505322897494,0.317818058056279,0.3
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading_joint,severe_damage,severe_to_little_or_no,3,60,0.05,0.01714950216439568,0.1370051647634852,0.3
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,misleading_joint,severe_damage,severe_to_any_lower,15,60,0.25,0.15776522530056675,0.37232070077047824,0.3
